no,id,대분류,금융토픽,문제유형,question,ground_truth,split_type
1,general-단일추론-투자및펀드-001,general,투자및펀드,단일추론,ETF는 어떤 방식으로 거래되는 금융상품인가요?,ETF는 특정 지수나 자산가격의 움직임을 추종하도록 설계된 펀드이지만 거래소에서 주식처럼 사고팔 수 있는 상품이다. 일반 펀드의 성격과 상장 주식의 매매 편의성을 함께 가진다는 점이 특징이다.,general
2,general-단일추론-투자및펀드-002,general,투자및펀드,단일추론,PER이 높다는 것은 무엇을 해석할 때 주로 쓰이나요?,PER은 주가를 주당순이익으로 나눈 지표이므로 기업이 벌어들이는 이익에 비해 주가가 어느 정도 수준인지 판단할 때 활용된다. 다만 업종과 성장성에 따라 해석이 달라질 수 있다.,general
3,general-단일추론-투자및펀드-003,general,투자및펀드,단일추론,공매도는 어떤 투자 거래를 말하나요?,"공매도는 투자자가 주식을 보유하지 않은 상태에서 주가 하락을 예상하고 빌린 주식을 먼저 판 뒤, 나중에 시장에서 다시 사서 갚는 거래를 말한다. 예상과 달리 주가가 오르면 손실이 커질 수 있다.",general
4,general-단일추론-투자및펀드-004,general,투자및펀드,단일추론,국채는 누가 발행하며 어떤 목적에 쓰이나요?,"국채는 정부가 재정자금 조달 등을 위해 발행하는 채권이다. 국가가 발행한다는 점에서 일반 회사채보다 발행주체의 성격이 다르며, 재정 운용과 채권시장 형성에 활용된다.",general
5,general-단일추론-투자및펀드-005,general,투자및펀드,단일추론,파생금융상품의 가치는 무엇에 의해 결정되나요?,"파생금융상품은 주식, 채권, 금리, 환율, 원자재 등 기초자산의 가격이나 지표 변동에 따라 가치가 결정되는 금융상품이다. 선물, 옵션, 스왑 등이 대표적인 형태이다.",general
6,general-단일추론-투자및펀드-006,general,투자및펀드,단일추론,프로젝트 파이낸싱은 상환재원을 어디에서 찾나요?,프로젝트 파이낸싱은 특정 사업의 미래 현금흐름을 주된 상환재원으로 하여 자금을 조달하는 방식이다. 차주의 전체 신용보다 사업 자체의 수익성과 위험 평가가 중요하다.,general
7,general-단일추론-투자및펀드-007,general,투자및펀드,단일추론,주식시장에서 배당할인모형은 무엇을 평가할 때 쓰이나요?,배당할인모형은 주식의 가치를 미래에 받을 배당을 현재가치로 할인하여 평가하는 방식이다. 기업의 배당 흐름과 요구수익률을 바탕으로 주식가치를 판단할 때 사용된다.,general
8,general-단일추론-투자및펀드-008,general,투자및펀드,단일추론,헤지펀드는 일반적으로 어떤 운용 특성을 가지나요?,"헤지펀드는 다양한 투자전략을 활용하여 수익을 추구하는 펀드로, 공매도·레버리지·파생상품 등 적극적인 전략을 활용할 수 있다. 그만큼 위험관리와 투자자 적합성 판단이 중요하다.",general
9,general-비교대조-투자및펀드-001,general,투자및펀드,비교대조,ETF와 일반 펀드를 비교하면 매매 방식에서 어느 쪽이 더 유연한가요?,ETF는 거래소에서 주식처럼 장중 매매가 가능하므로 매매 시점 선택의 유연성이 크다. 반면 일반 펀드는 보통 기준가를 기준으로 가입·환매가 이루어져 즉시 매매 측면에서는 ETF보다 덜 유연하다.,general
10,general-비교대조-투자및펀드-002,general,투자및펀드,비교대조,PER과 PBR 중 기업의 이익성과 순자산을 각각 더 잘 보여주는 지표는 어느 것인가요?,PER은 주가를 주당순이익으로 나누므로 이익 대비 주가 수준을 보는 데 적합하다. PBR은 주가를 주당순자산가치로 나누므로 순자산 대비 주가 수준을 판단할 때 더 직접적이다.,general
